PLATO 20 PANDO X20 KANG|PLATO 20 PANDO X20 KANG|25120.0
PLATO 12 HONDO X20 KANG|PLATO 12 HONDO X20 KANG|8420.0
PLATO 12 PANDO X20 KANG|PLATO 12 PANDO X20 KANG|8420.0
PLATO 155 PANDO X20 KANG|PLATO 155 PANDO X20 KANG|14000.0
PLATO 155 HONDO X20 KANG|PLATO 155 HONDO X20 KANG|18680.0
PLATO 23 PANDO X20 KANG|PLATO 23 PANDO X20 KANG|28700.0
PORTACOMIDA J1 X200 KANG|PORTACOMIDA J1 X200 KANG|44400.0
PORTACOMIDA J2 X200 KANG|PORTACOMIDA J2 X200 KANG|51450.0
PORTACOMIDA C1 X400 KANG|PORTACOMIDA C1 X400 KANG|82391.0
PORTACOMIDA P-3 X200 KANG|PORTACOMIDA P-3 X200 KANG|52150.0
PLATO 18 PANDO X20 KANG|PLATO 18 PANDO X20 KANG|19000.0
PLATO 26 PANDO X20 KANG|PLATO 26 PANDO X20 KANG|39400.0
PLATO 30 HONDO X20 KANG|PLATO 30 HONDO X20 KANG|39450.0
PLATO 12 PANDO X500 (5 ONZ)|PLATO 12 PANDO X500 (5 ONZ)|22370.0
PLATO 15.5 PANDO X500 (12 ONZ)|PLATO 15.5 PANDO X500 (12 ONZ)|36880.0
PLATO 18 PANDO X500|PLATO 18 PANDO X500|50220.0
PLATO 20 PANDO X500|PLATO 20 PANDO X500|63300.0
PLATO 23 PANDO X500|PLATO 23 PANDO X500|75850.0
PLATO 23 DIVISION X500|PLATO 23 DIVISION X500|75850.0
PLATO 26 PANDO X500|PLATO 26 PANDO X500|104230.0
PLATO 26 DIVISION X500|PLATO 26 DIVISION X500|104230.0
BANDEJA 19.5 OVALADO X200|BANDEJA 19.5 OVALADO X200|33870.0
CYRELES|CYRELES|0.0
PLATO 12 PANDO X20 (5 ONZ)|PLATO 12 PANDO X20 (5 ONZ)|24460.0
PLATO 15.5 PANDO X20 (12 ONZ)|PLATO 15.5 PANDO X20 (12 ONZ)|40410.0
PLATO 18 PANDO X20|PLATO 18 PANDO X20|54930.0
PLATO 20 PANDO X20|PLATO 20 PANDO X20|69310.0
PLATO 23 PANDO X20|PLATO 23 PANDO X20|83040.0
PLATO 23 DIVISION X20|PLATO 23 DIVISION X20|83040.0
PLATO 26 PANDO X20|PLATO 26 PANDO X20|114030.0
PLATO 26 DIVISION X20|PLATO 26 DIVISION X20|114030.0
BANDEJA 19.5 OVALADO X20|BANDEJA 19.5 OVALADO X20|38720.0
PLATO 12 HONDO X500 (5 ONZ)|PLATO 12 HONDO X500 (5 ONZ)|22370.0
PLATO 15.5 HONDO X500 (12 ONZ)|PLATO 15.5 HONDO X500 (12 ONZ)|49430.0
PLATO 16 HONDO X500|PLATO 16 HONDO X500|57800.0
PLATO 25 HONDO X500|PLATO 25 HONDO X500|79550.0
PLATO 30 HONDO X500|PLATO 30 HONDO X500|99390.0
PLATO 15.5 HONDO X20 (12 ONZ)|PLATO 15.5 HONDO X20 (12 ONZ)|54140.0
ROLLO BCO 24 CL.1.90|24 BCO CL.1.90|0.0
PLATO 30 HONDO X20|PLATO 30 HONDO X20|108800.0
CONTENEDOR 8 ONZ X25|CONTENEDOR 8 ONZ X25|4440.0
CONTENEDOR 12 ONZ X25|CONTENEDOR 12 ONZ X25|4110.0
CONTENEDOR 16 ONZ X25|CONTENEDOR 16 ONZ X25|6960.0
CONTENEDOR 24 ONZ X25|CONTENEDOR 24 ONZ X25|6020.0
CONTENEDOR 32 ONZ X25|CONTENEDOR 32 ONZ X25|8820.0
CONTENEDOR NATURAL 12 ONZ CAJA X10 PA (X50 UND|CONTENEDOR NATURAL 12 ONZ CAJA X10 PA (X50 UND|153270.0
TAPA CONTENEDOR 12 OZN CAJA CAJA X20 PAQ (X 25 UN|TAPA CONTENEDOR 12 OZN CAJA CAJA X20 PAQ (X 25 UND)|185050.0
PORTACOMIDA J-2 NATURAL (PACA X125 UND)|PORTACOMIDA J-2 NATURAL (PACA X125 UND)|197750.0
PORTACOMIDA J-1 NARURAL (PACA X25)|PORTACOMIDA J-1 NARURAL (PACA X25)|185200.0
VASO 4 ONZ SIN T X100|VASO 4 ONZ SIN T X100|2750.0
VASO 6 ONZ SIN TX100|VASO 6 ONZ SIN TX100|1900.0
VASO 8 ONZ SIN TX100|VASO 8 ONZ SIN TX100|2000.0
VASO 10 ONZ SIN TX50|VASO 10 ONZ SIN TX50|2115.0
VASO 12 ONZ SIN TX50|VASO 12 ONZ SIN TX50|2115.0
VASO 16 ONZ SINT X50|VASO 16 ONZ SINT X50|3700.0
VASO 20 ONZ SIN TX25|VASO 20 ONZ SIN TX25|7100.0
VASO 6 ONZ CON T X25|VASO 6 ONZ CON T X25|6230.0
VASO 8 ONZ CON T X25|VASO 8 ONZ CON T X25|6190.0
VASO 10 ONZ CON T X25|VASO 10 ONZ CON T X25|7650.0
VASO 12 ONZ CON T X25|VASO 12 ONZ CON T X25|9440.0
VASO 16 ONZ CON T X25|VASO 16 ONZ CON T X25|6800.0
VASO 20 ONZ CON T X25|VASO 20 ONZ CON T X25|11880.0
||
||
||
||
||
||
||
18X24 VERDE|18X24 VERDE|457719.0
18X24 AZUL|18X24 AZUL|457719.0
18X24 NARANJA|18X24 NARANJA|457719.0
6X8 TA X100|6X8 TA|795.0
7X10 TA X100|7X10 TA|1084.0
8X10 TA X100|8X10 TA|1180.0
8X12 TA X100|8X12 TA|1361.0
9X12 TA X100|9X12 TA|1554.0
10X14 TA X100|10X14 TA|1927.0
12X16 TA X100|12X16 TA|2650.0
14X20 TA X100|14X20 TA|4096.0
15X22 TA X100|15X22 TA|5542.0
18X23 TA X100|18X23 TA|7314.0
20X25 TA X100|20X25 TA|8833.0
20X30 TA X100|20X30 TA|10600.0
CL80(23X31) TA X100|CL80(23X31) TA|181956.0
24X33 TA X100|24X33 TA|14614.0
24X41 TA X50|24X41 TA X50|65676.0
28X32 TA X100|28X32 TA|31660.0
28X40 TA X100|28X40 TA|39575.0
28X40 TA X50|28X40 TA X50|37376.0
6X8 NA X100|6X8 NA|795.0
7X10 NA X100|7X10 NA|1084.0
8X10 NA X100|8X10 NA|11807.0
8X12 NA X100|8X12 NA|1361.0
9X12 NA X100|9X12 NA|1554.0
10X14 NA X100|10X14 NA|1927.0
12X16 NA X100|12X16 NA|2650.0
14X20 NA X100|14X20 NA|4096.0
15X22 NA X100|15X22 NA|5542.0
18X23 NA X100|18X23 NA|7314.0
20X30 NA C2 X100|20X30 NA C2|10600.0
20X30 NA X100|20X30 NA|18845.0
24X33 NA X100|24X33 NA|14614.0
24X33 NA X10|24X33 NA X10|1720.0
24X33 NA X12|24X33 NA X12|0.0
24X33 NA C2 X100|24X33 NA C2|24875.0
26X40 NA C2 X100|26X40 NA C2|32665.0
26X40 NA C2 X 12|26X40 NA C2 X 12|3200.0
26X40 NA ESPEC X100|26X40 NA ESPEC|36748.0
28X32 NA X100|28X32 NA|31660.0
32X45 NA X50|32X45 NA X50|50882.0
32X45 NA X50 ESP|32X45 NA X50 ESP|31094.0
4X6 BA X500|4X6 BA|2952.0
6X8 BA X100|6X8 BA|819.0
7X10 BA X100|7X10 BA|1146.0
8X12 BA X100|8X12 BA|1421.0
10X14 BA X100|10X14 BA|2048.0
12X16 BA X100|12X16 BA|2771.0
14X20 BA X100|14X20 BA|4216.0
15X22 BA X100|15X22 BA|5662.0
18X23 BA X100|18X23 BA|7463.0
20X30 BA X100|20X30 BA|10816.0
24X33 BA X100|24X33 BA|14912.0
26X40 BA C2 X100|26X40 BA C2|33332.0
32X45X50 ESP NGA|32X45X50 ESP NGA|31095.0
26X40 HOSP X100|26X40 HOSP|32665.0
18X24 HOSP X100|18X24 HOSP|6784.0
24X34 HOSP X100|24X34 HOSP|14416.0
30X70 NA X50|30X70 NA|40545.0
2X4 TB 2.0X500|2X4 TB|3253.0
2X5 TB 2.0X500|2X5 TB|3916.0
2X8 TB 1.0X100|2X8 TB|542.0
2X10 TB 1.0X100|2X10 TB|626.0
2X10 TB 2.0X500|2X10 TB 2.0|8073.0
2.5X4 TB 2.0X500|2.5X4 TB|3303.0
2.5X5 TB 2.0X500|2.5X5 TB|3626.0
3X4 TB 1.0X500|3X4 TB|2530.0
3X5 TB 1.0X500|3X5 TB 1.0|2530.0
3X5 TB 2.0X500|3X5 TB 2.0|5482.0
3X6 TB 1.0X100|3X6 TB|437.0
3X7 TB 1.0X100|3X7 TB|492.0
3X10 TB 1.0X100|3X10 TB|771.0
3X12 TB 1.0X100|3X12 TB|891.0
3X14 TB 1.0X100|3X14 TB|1156.0
3X14 TB 2.0X100|3X14 TB 2.0|2747.0
3X16 TB 2.0X100|3X16 TB 2.0|3108.0
3.5X10 TB 1.0X100|3.5X10 TB|749.0
3.5X12 TB 1.0X100|3.5X12 TB|1012.0
3.5X14 TB 1.0X100|3.5X14 TB|1301.0
4X5 TB 1.0X100|4X5 TB|626.0
4X5 TB 2.0X100|4X5 TB 2.0X100|986.0
4X6 TB 1.0X100|4X6 TB|663.0
4X6 TB 2.0X100|4X6 TB 2.0 X100|1306.0
4X7 TB 1.0X100|4X7 TB|723.0
4X8 TB 1.0X100|4X8 TB|807.0
4X10 TB 1.0X100|4X10 TB|975.0
4X12 TB 1.0X100|4X12 TB|1132.0
4X14 TB 1.0X100|4X14 TB|1433.0
4X16 TB 1.0X100|4X16 TB|1602.0
4X16 TB 2.0X100|4X16 TB 2.0|4108.0
4.5X7 TB 1.0X100|4.5X7 TB|795.0
4.5X12 TB 1.0X100|4.5X12 TB|1253.0
4.5X14 TB 1.0X100|4.5X14 TB|1578.0
5X6 TB 1.0X100|5X6 TB|784.0
5X6 TB 1.5X100|5X6 TB 1.5 X100|1112.0
5X7 TB 1.0X100|5X7 TB|867.0
5X8 TB 1.0X100|5X8 TB|964.0
5X8 TB 2.0X100|5X8 TB 2.0|2686.0
5X9 TB 1.0X100|5X9 TB|1072.0
5X10 TB 1.0X100|5X10 TB|1180.0
5X12 TB 1.0X100|5X12 TB|1386.0
5X14 TB 1.0X100|5X14 TB|1710.0
5X16 TB 1.0X100|5X16 TB|1928.0
6X7 TB 1.0X100|6X7 TB|1000.0
6X8 TB 1.0X100|6X8 TB|1132.0
6X9 TB 1.0X100|6X9 TB|1253.0
6X9 TB 2.0X100|6X9 TB 2.0|3518.0
6X10 TB 1.0X100|6X10 TB|1373.0
6X10 TB 2.0X100|6X10 TB 2.0|3075.0
6X12 TB 1.0X100|6X12 TB|1626.0
6X12 TB 2.0X100|6X12 TB 2.0 X100|3660.0
6X14 TB 1.0X100|6X14 TB|2000.0
6X14 TB 2.0X100|6X14 TB 2.0X100|3739.0
6X16 TB 1.0X100|6X16 TB|2253.0
7X8 TB 1.0X100|7X8 TB|1289.0
7X10 TB 1.0X100|7X10 TB|1579.0
7X10 TB 2.0X100|7X10 TB 2.0|4518.0
7X11 TB 1.0X100|7X11 TB|1734.0
7X11 TB 1.5X100|7X11 TB 1.5|3042.0
7X11 TB 2.0X100|7X11 TB 2.0|4927.0
7X12 TB 1.0X100|7X12 TB|1867.0
7X12 TB 2.0X100|7X12 TB 2.0 X100|1277.0
7X14 TB 1.0X100|7X14 TB|2277.0
7X14 TB 2.0X100|7X14 TB 2.0|4362.0
7X16 TB 1.0X100|7X16 TB|2566.0
8X10 TB 1.0X100|8X10 TB|1795.0
8X10 TB 2.0X100|8X10 TB 2.0X|5156.0
8X11 TB 1.0X100|8X11 TB|1451.0
8X12 TB 1.0X100|8X12 TB|2132.0
8X12 TB 2.0X100|8X12 TB 2.0X|6132.0
8X14 TB 1.0X100|8X14 TB|2590.0
8X16 TB 1.0X100|8X16 TB|2927.0
8X18 TB 1.0X100|8X18 TB|3253.0
8X18 TB 2.0X100|8X18 TB 2.0|8903.0
9X12 TB 1.0X100|9X12 TB|2373.0
9X12 TB 2.0X100|9X12 TB 2.0 X100|4807.0
9X14 TB 1.0X100|9X14 TB 1.0|2867.0
9X14 TB 2.0X100|9X14 TB 2.0|7915.0
9X18 TB 1.0X100|9X18 TB 1.0|3614.0
10X14 TB 1.0X100|10X14 TB|3265.0
10X14 TB 2.0X100|10X14 TB 2.0|8734.0
10X16 TB 1.0X100|10X16 TB|3674.0
10X16 TB 2.0X100|10X16 TB 2.0|9843.0
12X16 TB 1.0X100|12X16 TB|4313.0
9X16 TB 1.0X100|9X16 TB 1.0|3241.0
12X16 TB 2.0X100|12X16 TB 2.0|11921.0
12X18 TB 1.0X100|12X18 TB 1.0|4819.0
12X18 TB 2.0X100|12X18 TB 2.0|13403.0
10X18 TB 1.0X100|10X18 TB|4084.0
13X18 TB 1.0X100|13X18 TB 1.0|5439.0
14X18 TB 1.0X100|14X18 TB 1.0|5783.0
14X20 TB 1.0X100|14X20 TB 1.0|6145.0
14X20 TB 2.0X100|14X20 TB 2.0|17174.0
14X25 TB 1.0X100|14X25 TB 1.0|5773.0
14X25 TB 2.0X100 ARROBERA|14X25 TB 2.0(ARROB)|20215.0
14X38 TB 1.0X100|14X28 TB 1.0|7897.0
15X22 TB 1.0X100|15X22 TB 1.0|7289.0
15.5X35.5 TB 1.5X100|15.5X35.5 TB 1.5|21872.0
16X22 TB 1.0X100|16X22 TB 1.0|7710.0
16X22 TB 2.0X100|16X22 TB 2.0|14099.0
16X24 TB 1.0X100|16X24 TB 1.0|8373.0
16X24 TB 2.0X100|16X24 TB 2.0|17090.0
18X24 TB 1.0X100|18X24 TB 1.0|8771.0
18X24 TB 2.0X100|18X24 TB 2.0|19227.0
18X28 TB 2.0X100|18X28 TB 2.0|22432.0
20X30 TB 1.0X100|20X30 TB 1.0|12181.0
20X30 TB 2.0X100|20X30 TB 2.0|26704.0
13X25 TB 1.0X100|13X25 TB 1.0|18771.0
24X33 TB 1.0X100|24X33 TB 1.0|16080.0
2X4 PP 1.0X500|2X4 PP 1.0|2412.0
3X4 PP 1.0X500|3X4 PP 1.0|3292.0
3X5 PP 1.0X500|3X5 PP 1.0|3903.0
3.5X7 PP 1.5X100|3.5X7 PP 1.5|900.0
3.5X8 PP 2.0X500|3.5X8 PP 2.0|1130.0
3X6 PP 1.5X500|3X6 PP 1.5|762.0
3X6 PP 2.0X100|3X6 PP 2.0|1570.0
4X5 PP 1.0X500|4X5 PP 1.0|4825.0
4X6 PP 1.0X500|4X6 PP 1.0|5175.0
4X6 PP 1.0X500|4X6 PP 1.0X500|5.0
4X6 PP 1.5X100|4X6 PP 1.5|1017.0
4X6 PP 2.0X100|4X6 PP 2.0|1398.0
4X7 PP 1.0X100|4X7 PP 1.0|1182.0
4X8 PP 1.0X100|4X8 PP 1.0|1329.0
4X9 PP 1.5X100|4X9 PP 1.5|1300.0
4X10 PP 1.0X100|4X10 PP 1.0|1624.0
4X12 PP 1.0X100|4X12 PP 1.0|0.0
4.5X7 PP 1.0X100|4.5X7 PP 1.0|1310.0
4.5X9 PP 2.0X100|4.5X9 PP 2.0|2358.0
5X5 PP 1.0X100|5X5 PP 1.0|700.0
5X6 PP 1.0X100|5X6 PP 1.0|1255.0
5X6 PP 2.0X100|5X6 PP 2.0|1748.0
5X7 PP 1.0X100|5X7 PP 1.0|1447.0
5X7 PP 2.0X100|5X7 PP 2.0|2039.0
5X8 PP 1.0X100|5X8 PP 1.0|1624.0
5X8 PP 2.0X100|5X8 PP 2.0|2329.0
5X9 PP 1.0X100|5X9 PP 1.0|1050.0
5.5X9 PP 1.0X100|5.5X9 PP 1.0|1398.0
5X10 PP 1.0X100|5X10 PP 1.0|1992.0
5X10 PP 1.5X100|5X10 PP 1.5|2118.0
5X10 PP 2.0X100|5X10 PP 2.0|2911.0
5X12 PP 10|5X12 PP 1.0|3495.0
5X12 PP 1.5X100|5X12 PP 1.5|2542.0
5X12 PP 2.0X100|5X12 PP 2.0|3495.0
5X14 PP 1.0X100|5X14 PP 1.0|1570.0
6X7 PP 1.0X100|6X7 PP 1.0|1697.0
6X7 PP 2.0X100|6X7 PP 2.0|2446.0
6X8 PP 1.0X100|6X8 PP 1.0|1918.0
6X9 PP 1.0 X100|6X9 PP 1.0|2139.0
6X10 PP 1.0X100|6X10 PP 1.0|2359.0
6X10 PP 2.0X100|6X10 PP 2.0|3495.0
6X12 PP 1.0X100|6X12 PP 1.0|2952.0
6X12 PP 2.0X100|6X12 PP 2.0|5800.0
6X14 PP 1.0X100|6X14 PP 1.0|2372.0
6X14 PP 2.0X100|6X14 PP 2.0|4891.0
8X12 PP 15 ADH|8X12 PP 15 ADH|4965.0
7X8 PP 1.5 X100|7X8 PP 15|2371.0
7X10 PP 1.0X100|7X10 PP 1.0|2726.0
7X10 PP 1.5X100|7X10 PP 1.5|2964.0
7X10 PP 2.0X100|7X10 PP 2.0|4076.0
7X12 PP 1.0X100|7X12 PP 1.0|2371.0
7X12 PP 2.0X100|7X12 PP 2.0|4891.0
7X12 PP 2.0X100 ADHESIVO|7X12 PP 2.0ADH|5961.0
7X14 PP 1.0X100|7X14 PP 1.0|2767.0
7X14 PP 2.0X100|7X14 PP 2.0|5707.0
7X16 PP 1.0X100|7X16 PP 1.0|3162.0
7X16 PP 2.0X100|7X16 PP 2.0|6522.0
7X16 PP 2.0X100 ADHESIVO|7X16 PP 2.0ADH|7322.0
8X10 PP 1.0X100|8X10 PP 1.0|2258.0
8X10 PP 1.5X100|8X10 PP 1.5|3388.0
8X10 PP 2.0X100|8X10 PP 2.0|4658.0
8X12 PP 1.0X100|8X12 PP 1.0|2710.0
8X12 pp 1.5X100|8X12 PP 1.5|4065.0
8X12 PP 2.0X100|8X12 PP 2.0|5590.0
8X12 PP 2.0X100 ADHESIVO|8X12 PP 2.0ADH|6490.0
8X14 PP 1.0X100|8X14 PP 1.0|3162.0
8X14 PP 2.0X100|8X14 PP 2.0|6522.0
8X16 PP 1.0X100|8X16 PP 1.0|3614.0
8X18 PP 1.0X100|8X18 PP 1.0|4065.0
8X18 PP 2.0X100|8X18 PP 2.0|8385.0
9X12 PP 1.0X100|9X12 PP 1.0|3049.0
9X12 PP 1.5X100|9X12 PP 1.5|4574.0
9X12 pp 2.0X100|9X12 PP 2.0|6289.0
9X14 PP 1.0X100|9X14 PP 1.0|3557.0
9X14 PP 1.5X100|9X14 PP 1.5|5336.0
9X14 PP 2.0X100|9X14 PP 2.0|7337.0
9X16 PP 1.0X100|9X16 PP 1.0|4065.0
9X16 PP 2.0X100|9X16 PP 2.0|8385.0
10X14 PP 15 ADH|10X14 PP 15 ADH|7129.0
4X5 PP 1.0X100|4X5 PP 1.0|965.0
4X6 PP 1.0X100|4X6 PP 1.0|1035.0
10X14 CIERRE|10X14 CIERRE|15300.0
8X8 CIERRE|8X8 CIERRE|6450.0
10X12 PP 1.0X100|10X12 PP 1.0|3388.0
10X12 PP 2.0X100|10X12 PP 2.0|6988.0
10X14 PP 1.0X100|10X14 PP 1.0|3952.0
1.5X1.5 CIERRE|15X15 CIERRE|1250.0
10X14 PP 1.5X100|10X14 PP 1.5|5929.0
10X14 PP 2.0X100|10X14 PP 2.0|8152.0
10X14 PP 2.0X100 ADHESIVO|10X14 PP 2.0 ADHESIVO|9352.0
10X15 PP 1.0X100|10X15 PP 1.0|4235.0
10X15 PP 1.5X100|10X15 PP 1.5|6352.0
10X16 PP 1.0X100|10X16 PP 1.0|4517.0
10X16 PP 1.5X100|10X16 PP 1.5|6776.0
10X16 PP 2.0X100|10X16 PP 2.0|9317.0
10X18 PP 1.0X100|10X18 PP 1.0|5082.0
10X20 PP 1.0X100|10X20 PP 1.0|5647.0
10X24 PP 1.0X100|10X24 PP 1.0|6776.0
11X14 PP 1.0X100|11X14 PP 1.0|4348.0
11X14 PP 1.5X100|11X14 PP 1.5|6522.0
11X20 PP 1.0X100|11X20 PP 1.0|6211.0
11X22 PP 1.0X100|11X22 PP 1.0|6832.0
12X12 PP 1.0X100|12X12 PP 1.0|4065.0
12X14 PP 1.0X100|12X14 PP 1.0|4743.0
12X14 PP 1.5X100|12X14 PP 1.5|7115.0
12X16 PP 1.0X100|12X16 PP 1.0|5421.0
12X16 PP 1.5X100|12X16 PP 1.5|8131.0
12X16 PP 15 ADH|12X16 PP 1.5 ADH|9431.0
12X16 PP 2.0X100|12X16 PP 2.0|9015.0
12X16 PP 2.0X100 ADHESIVO|12X16 PP 2.0ADH|12481.0
12X18 PP 1.0X100|12X18 PP 1.0|6098.0
12X18 PP 1.5X100|12X18 PP 1.5|9148.0
12X18 PP 2.0X100|12X18 PP 2.0|12578.0
12X20 PP 1.0X100|12X20 PP 1.0|6776.0
13X22 PP 1.0X100|13X22 PP 1.0|8075.0
13X24 PP 1.5X100|13X24 PP 1.5|13214.0
14X16 PP 1.0X100|14X16 PP 1.0|6327.0
14X16 PP 1.5X100|14X16 PP 1.5|9487.0
14X18 PP 1.0X100|14X18 PP 1.0|7115.0
14X18 PP 1.5X100|14X18 PP 1.5|10672.0
14X18 PP 2.0X100|14X18 PP 2.0|14675.0
14X20 PP 1.0X100|14X20 PP 1.0|7905.0
14X20 PP 2.0X100|14X20 PP 2.0|16305.0
14X22 PP 1.0X100|14X22 PP 1.0|8696.0
14X25 PP 1.0X100|14X25 PP 1.0|9882.0
14X25 PP 2.0X100|14X25 PP 2.0|20382.0
15X18 PP 1.5X100|15X18 PP 1.5|11435.0
15X22 PP 1.0X100|15X22 PP 1.0|9317.0
15X24 PP 1.0X100|15X24 PP 1.0|10164.0
16X20 PP 1.0X100|16X22 PP 1.0|9035.0
18X24 PP 1.0X100|18X24 PP 1.0|12197.0
18X26 PP 1.0X100|18X26 PP 1.0|13214.0
18X28 PP 1.0X100|18X28 PP 1.0|11837.0
20X26 PP 1.0X100|20X26 PP 1.0|12207.0
20X27 PP 1.0X100|20X27 PP 1.0|12710.0
20X30 PP 1.0X100|20X30 PP 1.0|14099.0
20X36 PP 1.0X100|20X36 PP 1.0|16737.0
22X30 PP 1.0X100|22X30 PP 1.0|15509.0
24X32 PP 1.0X100|24X32 PP 1.0|18030.0
4X6 NB 1.0X100|4X6 NB|700.0
4X6 NB 1.0X500 ALMACIGO|4X6 NB X500 ALM|1000.0
5X6 NB 1.0X500 ALMACIGO|5X6 NB X500 ALM|6250.0
4X8 NB CL.1.0X500 ALMACIGO|4X8 NB X500 ALM|6500.0
7X10 NB 1.0X100 ALMACIGO|7X10 NB X100 ALM|2800.0
8X12 NB 1.0X100 ALMACIGO|8X12 NB X100 ALM|3700.0
C-0 BB (7+2+2X12)X100|C-0BB|5247.0
C-1 BB (7+2+2X16)X100|C-1BB|6584.0
C-2 BB (10+2.5+2.5X17)X100|C-2BB|10100.0
C-3 BB (11+3+3X21)X100|C-3BB|13355.0
C-3 BB ESP (11+3+3X20)X100|C-3BB ESP|12719.0
C-4 BB (12+4+4X23)X100|C-4BB|16347.0
C-5 BB (14+3+3X25)X100|C-5BB|21929.0
C-0 BB REC (7+2+2X12)X100|C-0 REC|4294.0
C-1 BB REC (7+2+2X16)X100|C-1 REC|5725.0
C-2 BB REC (10+2.5+2.5X17)X100|C-2 REC|8267.0
C-3 BB REC (11+3+3X21)X100|C-3 REC|10410.0
C-3 BB REC (11+3+3X20ESP)X100|C-3 REC E|10150.0
C-4 BB REC (12+4+4X23)X100|C-4 REC|13380.0
T-15BA X100|T-15BA|2285.0
T-15NA X100|T-15NA|2285.0
T-20BA X100|T-20BA|3298.0
T-20NA X100|T-20NA|3298.0
T-25BA X100|T-25BA|4759.0
T-25NA X100|T-25NA|4759.0
T-30BA X100|T-30BA|8737.0
T-30NA X100|T-30NA|8091.0
T-40BA X100|T-40BA|11022.0
T-40NA X100|T-40NA|9839.0
T-50BA X100|T-50BA|16579.0
T-50NA X100|T-50NA|15611.0
T-50VERDE X100 MARP|T-50VERDE X100 MARP|16000.0
T-50NARANJA X100 MARP|T-50NARANJA X100 MARP|16000.0
T-20BA X100 MARP|T-20BA X100 MARP|2730.0
T-20NA X100 MARP|T-20NA X100 MARP|2730.0
T-25BA X100 MARP|T-25BA X100 MARP|4000.0
T-25NA X100 MARP|T-25NA X100 MARP|4000.0
T-30BA X100 MARP|T-30BA X100 MARP|7200.0
T-30NA X100 MARP|T-30NA X100 MARP|7200.0
T-50BA X100 MARP|T-50BA X100 MARP|16000.0
T-15 BA X100 MARP|T-15 BA X100 MARP|2240.0
T-15 NA X100 MARP|T-15 NA X100 MARP|2240.0
T-30 BA ECO|T-30 BA ECO|5780.0
T-25 BA ECO|T-25 BA ECO|3017.0
TAPA VASO 6 ONZ X20|TAPA VASO 6 ONZ X20|7350.0
TAPA VASO 7 ONZ X20|TAPA VASO 7 ONZ X20|5850.0
TAPA VASO 9 ONZ X20|TAPA VASO 9 ONZ X20|8380.0
VASO 4 ONZ CARTON IDEALTEX|VASO 4 ONZ CARTON IDEALTEX|3400.0
VASO 6 ONZ CARTON DARNEL X20 PAQ|VASO 6 ONZ CARTON DARNEL X20 PAQ|4950.0
VASO 6 ONXZ CARTON IDEALTEX|VASO 6 ONXZ CARTON IDEALTEX|3600.0
VASO CARTON 7 CARTON IDEALTEX/IBERICO|VASO CARTON 7 CARTON IDEALTEX/IBERICO|3800.0
VASO CARTON 9 ONZ X25 PAQ PRODE|VASO CARTON 9 ONZ X25 PAQ PRODE|2200.0
VASO 12 ONZ CARTON|VASO 12 ONZ CARTON|11650.0
3,5 ONZ COLOR VACAN|3,5 ONZ COLOR VACAN|1905.0
5,5 ONZ COLOR BLANCO TT|5,5 ONZ COLOR BLANCO TT|1800.0
16 ONZ TT X48|16 ONZ TT X48|2400.0
COPA 1,5 TT|COPA 1,5 TT|1210.0
VASO 7 ONZ BLA OPTIMA|VASO 7 ONZ BLA OPTIMA|1884.0
